ID,Pokedex #,Name,PicName,JapaneseName,ChineseName,Height,Weight,TypeID1,TypeID2,Description,ChineseDescription,Locations,ChineseLocations,Category,ChineseCategory,MovesID,EvolvesFromID,EvolvesIntoID
34,#034,Nidoking,nidoking,ニドキング,尼多王 ,1.4,62,10,4,"Nidoking's thick tail packs enormously destructive power. With one swing, it can topple a metal transmission tower. Once this Pokémon goes on a rampage, there is no stopping it.",,TBD,,Drill,,"116,139,55",,
35,#035,Clefairy,clefairy,ピッピ,皮皮 ,0.6,7.5,9,,"On every night of a full moon, groups of this Pokémon come out to play. When dawn arrives, the tired Clefairy return to their quiet mountain retreats and go to sleep nestled up against each other.",,TBD,,Fairy,,"9,19,21,56,118",,
36,#036,Clefable,clefable,ピクシー,皮可西 ,1.3,40,9,,"Clefable moves by skipping lightly as if it were flying using its wings. Its bouncy step even lets it walk on water. It is known to take strolls on lakes on quiet, moonlit nights.",,TBD,,Fairy,,"19,21,23",,
37,#037,Vulpix,vulpix,ロコン,六尾 ,0.6,9.9,13,,"At the time of its birth, Vulpix has one white tail. The tail separates into six if this Pokémon receives plenty of love from its trainer. The six tails become magnificently curled.",,TBD,,Fox,,"107,136,120,30,35",,
38,#038,Ninetales,ninetales,キュウコン,九尾 ,1.1,19.9,13,,Ninetales casts a sinister light from its bright red eyes to gain total control over its foe's mind. This Pokémon is said to live for one thousand years.,,TBD,,Fox,,"120,35",,
39,#039,Jigglypuff,jigglypuff,プリン,胖丁 ,0.5,5.5,8,9,Jigglypuff's vocal cords can freely adjust the wavelength of its voice. This Pokémon uses this ability to sing at precisely the right wavelength to make its foes most drowsy.,,TBD,,Balloon,,"9,19,21,23,118,70",,
40,#040,Wigglytuff,wigglytuff,プクリン,胖可丁 ,1,12,8,9,"Wigglytuff has large, saucerlike eyes. The surfaces of its eyes are always covered with a thin layer of tears. If any dust gets in this Pokémon's eyes, it is quickly washed away.",,TBD,,Balloon,,"19,23,62",,
41,#041,Zubat,zubat,ズバット,超音蝠 ,0.8,7.5,10,15,Zubat remains quietly unmoving in a dark spot during the bright daylight hours. It does so because prolonged exposure to the sun causes its body to become slightly burned.,,TBD,,Bat,,"102,90,133,3,4",,
42,#042,Golbat,golbat,ゴルバット,大嘴蝠 ,1.6,55,10,15,"Golbat loves to drink the blood of living things. It is particularly active in the pitch black of night. This Pokémon flits around in the night skies, seeking fresh blood.",,TBD,,Bat,,"102,90,133,3,4",,
43,#043,Oddish,oddish,ナゾノクサ,走路草 ,0.5,5.4,2,10,"During the daytime, Oddish buries itself in soil to absorb nutrients from the ground using its entire body. The more fertile the soil, the glossier its leaves become.",,TBD,,Weed,,"101,1,37,54,56",,
44,#044,Gloom,gloom,クサイハナ,臭臭花 ,0.8,8.6,2,10,"Gloom releases a foul fragrance from the pistil of its flower. When faced with danger, the stench worsens. If this Pokémon is feeling calm and secure, it does not release its usual stinky aroma.",,TBD,,Weed,,"101,61,1,37,54",,
45,#045,Vileplume,vileplume,ラフレシア,霸王花 ,1.2,18.6,2,10,"Vileplume's toxic pollen triggers atrocious allergy attacks. That's why it is advisable never to approach any attractive flowers in a jungle, however pretty they may be.",,TBD,,Flower,,"61,54,85",,
46,#046,Paras,paras,パラス,派拉斯 ,0.3,5.4,1,2,Paras has parasitic mushrooms growing on its back called tochukaso. They grow large by drawing nutrients from this Bug Pokémon host. They are highly valued as a medicine for extending life.,,TBD,,Mushroom,,"109,123,37,80,100",,
47,#047,Parasect,parasect,パラセクト,派拉斯特 ,1,29.5,1,2,"Parasect is known to infest large trees en masse and drain nutrients from the lower trunk and roots. When an infested tree dies, they move onto another tree all at once.",,TBD,,Mushroom,,"109,123,17,37,80,100",,
48,#048,Venonat,venonat,コンパン,毛球 ,1,30,1,10,"Venonat is said to have evolved with a coat of thin, stiff hair that covers its entire body for protection. It possesses large eyes that never fail to spot even miniscule prey.",,TBD,,Insect,,"135,129,141,66,67,78",,
49,#049,Venomoth,venomoth,モルフォン,摩鲁蛾 ,1.5,12.5,1,10,"Venomoth is nocturnal—it is a Pokémon that only becomes active at night. Its favorite prey are small insects that gather around streetlights, attracted by the light in the darkness.",,TBD,,Poison Moth,,"135,129,141,14,66,67,78",,
50,#050,Diglett,diglett,ディグダ,地鼠 ,0.2,0.8,4,,"Diglett are raised in most farms. The reason is simple—wherever this Pokémon burrows, the soil is left perfectly tilled for planting crops. This soil is made ideal for growing delicious vegetables.",,TBD,,Mole,,"29,138,123,128,15,20,57,80",,
51,#051,Dugtrio,dugtrio,ダグトリオ,三地鼠 ,0.7,33.3,4,,"Dugtrio are actually triplets that emerged from one body. As a result, each triplet thinks exactly like the other two triplets. They work cooperatively to burrow endlessly.",,TBD,,Mole,,"29,138,123,128,15,20,57,58,80",,
52,#052,Meowth,meowth,ニャース,喵喵 ,0.4,4.2,8,,"Meowth withdraws its sharp claws into its paws to slinkily sneak about without making any incriminating footsteps. For some reason, this Pokémon loves shiny coins that glitter with light.",,TBD,,Scratch Cat,,"102,136,123,58,80",,
53,#053,Persian,persian,ペルシアン,猫老大 ,1,32,8,,Persian has six bold whiskers that give it a look of toughness. The whiskers sense air movements to determine what is in the Pokémon's surrounding vicinity. It becomes docile if grabbed by the whiskers.,,TBD,,Classy Cat,,"102,136,123,90,58,62,64,80",,
54,#054,Psyduck,psyduck,コダック,可达鸭 ,0.8,19.6,18,,"Psyduck uses a mysterious power. When it does so, this Pokémon generates brain waves that are supposedly only seen in sleepers. This discovery spurred controversy among scholars.",,TBD,,Duck,,"135,123,132,141,7,44,73,96",,
55,#055,Golduck,golduck,ゴルダック,哥达鸭 ,1.7,76.6,18,,The webbed flippers on its forelegs and hind legs and the streamlined body of Golduck give it frightening speed. The Pokémon is definitely much faster than even the most athletic swimmer.,,TBD,,Duck,,"135,123,132,141,6,7,44,73,96",,
56,#056,Mankey,mankey,マンキー,猴怪 ,0.5,28,11,,"When Mankey starts shaking and its nasal breathing turns rough, it's a sure sign that it is becoming angry. However, because it goes into a towering rage almost instantly, it is impossible for anyone to flee its wrath.",,TBD,,Pig Monkey,,"111,123,16,113",,
57,#057,Primeape,primeape,オコリザル,火爆猴 ,1,32,11,,"When Primeape becomes furious, its blood circulation is boosted. In turn, its muscles are made even stronger. However, it also becomes much less intelligent at the same time.",,TBD,,Pig Monkey,,"111,123,16,113",,
58,#058,Growlithe,growlithe,ガーディ,卡蒂狗 ,0.7,19,13,,"Growlithe has a superb sense of smell. Once it smells anything, this Pokémon won't forget the scent, no matter what. It uses its advanced olfactory sense to determine the emotions of other living things.",,TBD,,Puppy,,"102,107,137,32,34,35,41,91",,
59,#059,Arcanine,arcanine,ウインディ,风速狗 ,1.9,155,13,,"Arcanine is known for its high speed. It is said to be capable of running over 6,200 miles in a single day and night. The fire that blazes wildly within this Pokémon's body is its source of power.",,TBD,,Legendary,,"102,137,107,30",,
60,#060,Poliwag,poliwag,ニョロモ,蚊香蝌蚪 ,0.6,12.4,18,,"Poliwag has a very thin skin. It is possible to see the Pokémon's spiral innards right through the skin. Despite its thinness, however, the skin is also very flexible. Even sharp fangs bounce right off it.",,TBD,,Tadpole,,"134,115,132,9,13,23,44,57,73",,
61,#061,Poliwhirl,poliwhirl,ニョロゾ,蚊香君 ,1,20,18,,"The surface of Poliwhirl's body is always wet and slick with an oily fluid. Because of this greasy covering, it can easily slip and slide out of the clutches of any enemy in battle.",,TBD,,Tadpole,,"134,115,132,9,13,23,44,57,73",,
62,#062,Poliwrath,poliwrath,ニョロボン,蚊香泳士 ,1.3,54,18,11,"Poliwrath's highly developed, brawny muscles never grow fatigued, however much it exercises. It is so tirelessly strong, this Pokémon can swim back and forth across the ocean without effort.",,TBD,,Tadpole,,"132,13,23,73,89",,
63,#063,Abra,abra,ケーシィ,凯西 ,0.9,19.5,12,,"Abra sleeps for eighteen hours a day. However, it can sense the presence of foes even while it is sleeping. In such a situation, this Pokémon immediately teleports to safety.",,TBD,,Psi,,,,
64,#064,Kadabra,kadabra,ユンゲラー,勇基拉 ,1.3,56.5,12,,Kadabra emits a peculiar alpha wave if it develops a headache. Only those people with a particularly strong psyche can hope to become a trainer of this Pokémon.,,TBD,,Psi,,"135,119,19,66,67",,
65,#065,Alakazam,alakazam,フーディン,胡地 ,1.5,48,12,,"Alakazam's brain continually grows, making its head far too heavy to support with its neck. This Pokémon holds its head up using its psychokinetic power instead.",,TBD,,Psi,,"135,119,66,67",,
66,#066,Machop,machop,ワンリキー,腕力 ,0.8,19.5,11,,Machop's muscles are special—they never get sore no matter how much they are used in exercise. This Pokémon has sufficient power to hurl a hundred adult humans.,,TBD,,Superpower,,"111,113,16,48,52,89",,
67,#067,Machoke,machoke,ゴーリキー,豪力 ,1.5,70.5,11,,"Machoke's thoroughly toned muscles possess the hardness of steel. This Pokémon has so much strength, it can easily hold aloft a sumo wrestler on just one finger.",,TBD,,Superpower,,"111,113,16,48,52,89",,
68,#068,Machamp,machamp,カイリキー,怪力 ,1.6,130,11,,"Machamp has the power to hurl anything aside. However, trying to do any work requiring care and dexterity causes its arms to get tangled. This Pokémon tends to leap into action before it thinks.",,TBD,,Superpower,,"111,113,16,48,52,89",,
69,#069,Bellsprout,bellsprout,マダツボミ,喇叭芽 ,0.7,4,2,10,"Bellsprout's thin and flexible body lets it bend and sway to avoid any attack, however strong it may be. From its mouth, this Pokémon spits a corrosive fluid that melts even iron.",,TBD,,Flower,,"101,121,131,79,99",,
70,#070,Weepinbell,weepinbell,ウツドン,口呆花 ,1,6.4,2,10,"Weepinbell has a large hook on its rear end. At night, the Pokémon hooks on to a tree branch and goes to sleep. If it moves around in its sleep, it may wake up to find itself on the ground.",,TBD,,Flycatcher,,"101,121,131,79,99",,
71,#071,Victreebel,victreebel,ウツボット,大食花 ,1.7,15.5,2,10,"Victreebel has a long vine that extends from its head. This vine is waved and flicked about as if it were an animal to attract prey. When an unsuspecting prey draws near, this Pokémon swallows it whole.",,TBD,,Flycatcher,,"121,131,51,99",,
72,#072,Tentacool,tentacool,メノクラゲ,玛瑙水母 ,0.9,45.5,18,10,"Tentacool's body is largely composed of water. If it is removed from the sea, it dries up like parchment. If this Pokémon happens to become dehydrated, put it back into the sea.",,TBD,,Jellyfish,,"117,139,12,13,44,73,83,96,99",,
73,#073,Tentacruel,tentacruel,ドククラゲ,毒刺水母 ,1.6,55,18,10,Tentacruel has large red orbs on its head. The orbs glow before lashing the vicinity with a harsh ultrasonic blast. This Pokémon's outburst creates rough waves around it.,,TBD,,Jellyfish,,"101,117,139,12,13,44,73,83,96,99",,
74,#074,Geodude,geodude,イシツブテ,小拳石 ,0.4,20,14,4,"The longer a Geodude lives, the more its edges are chipped and worn away, making it more rounded in appearance. However, this Pokémon's heart will remain hard, craggy, and rough always.",,TBD,,Rock,,"29,129,15,20,122,87",,
75,#075,Graveler,graveler,ゴローン,隆隆石 ,1,105,14,4,"Graveler grows by feeding on rocks. Apparently, it prefers to eat rocks that are covered in moss. This Pokémon eats its way through a ton of rocks on a daily basis.",,TBD,,Rock,,"29,129,15,122,87",,
76,#076,Golem,golem,ゴローニャ,隆隆岩 ,1.4,300,14,4,"Golem live up on mountains. If there is a large earthquake, these Pokémon will come rolling down off the mountains en masse to the foothills below.",,TBD,,Megaton,,"29,129,15,122,87",,
77,#077,Ponyta,ponyta,ポニータ,小火马 ,1,30,13,,Ponyta is very weak at birth. It can barely stand up. This Pokémon becomes stronger by stumbling and falling to keep up with its parent.,,TBD,,Fire Horse,,"107,129,30,33,34,86,91",,
78,#078,Rapidash,rapidash,ギャロップ,烈焰马 ,1.7,95,13,,"Rapidash usually can be seen casually cantering in the fields and plains. However, when this Pokémon turns serious, its fiery manes flare and blaze as it gallops its way up to 150 mph.",,TBD,,Fire Horse,,"107,117,120,30,33,34,55,86,91",,
79,#079,Slowpoke,slowpoke,ヤドン,呆呆兽 ,1.2,36,18,12,"Slowpoke uses its tail to catch prey by dipping it in water at the side of a river. However, this Pokémon often forgets what it's doing and often spends entire days just loafing at water's edge.",,TBD,,Dopey,,"135,129,132,141,39,67,73,96",,
80,#080,Slowbro,slowbro,ヤドラン,呆壳兽 ,1.6,78.5,18,12,"Slowbro's tail has a Shellder firmly attached with a bite. As a result, the tail can't be used for fishing anymore. This causes Slowbro to grudgingly swim and catch prey instead.",,TBD,,Hermit Crab,,"135,129,132,141,39,67,73,96",,
81,#081,Magnemite,magnemite,コイル,小磁怪 ,0.3,6,7,16,"Magnemite attaches itself to power lines to feed on electricity. If your house has a power outage, check your circuit breakers. You may find a large number of this Pokémon clinging to the breaker box.",,TBD,,Magnet,,"125,129,130,22,36,53",,
82,#082,Magneton,magneton,レアコイル,三合一磁怪 ,1,60,7,16,"Magneton emits a powerful magnetic force that is fatal to mechanical devices. As a result, large cities sound sirens to warn citizens of large-scale outbreaks of this Pokémon.",,TBD,,Magnet,,"125,129,130,22,36,53",,
83,#083,Farfetch'd,farfetchd,カモネギ,大葱鸭 ,0.8,15,8,15,"Farfetch'd is always seen with a stalk from a plant of some sort. Apparently, there are good stalks and bad stalks. This Pokémon has been known to fight with others over stalks.",,TBD,,Wild Duck,,"116,117,2,3,4,109,58",,
84,#084,Doduo,doduo,ドードー,嘟嘟 ,1.4,39.2,8,15,"Doduo's two heads never sleep at the same time. Its two heads take turns sleeping, so one head can always keep watch for enemies while the other one sleeps.",,TBD,,Twin Bird,,"116,27",,
85,#085,Dodrio,dodrio,ドードリオ,嘟嘟利 ,1.8,85.2,8,15,Watch out if Dodrio's three heads are looking in three separate directions. It's a sure sign that it is on its guard. Don't go near this Pokémon if it's being wary-it may decide to peck you.,,TBD,,Triple Bird,,"116,120,27",,
86,#086,Seel,seel,パウワウ,小海狮 ,1.1,90,18,,"Seel hunts for prey in the frigid sea underneath sheets of ice. When it needs to breathe, it punches a hole through the ice with the sharply protruding section of its head.",,TBD,,Sea Lion,,"110,6,7,12,39,47,49,70,91",,
87,#087,Dewgong,dewgong,ジュゴン,白海狮 ,1.7,120,18,6,Dewgong loves to snooze on bitterly cold ice. The sight of this Pokémon sleeping on a glacier was mistakenly thought to be a mermaid by a mariner long ago.,,TBD,,Sea Lion,,"108,110,6,7,12,39,47,49,70,78",,
88,#088,Grimer,grimer,ベトベター,臭泥 ,0.9,30,10,,"Grimer's sludgy and rubbery body can be forced through any opening, however small it may be. This Pokémon enters sewer pipes to drink filthy wastewater.",,TBD,,Sludge,,"138,38,57,118,76,77,81,82,83",,
89,#089,Muk,muk,ベトベトン,臭臭泥 ,1.2,30,10,,From Muk's body seeps a foul fluid that gives off a nose-bendingly horrible stench. Just one drop of this Pokémon's body fluid can turn a pool stagnant and rancid.,,TBD,,Sludge,,"138,38,57,118,76,77,81,82,83",,
90,#090,Shellder,shellder,シェルダー,大舌贝 ,0.3,4,18,,"At night, this Pokémon uses its broad tongue to burrow a hole in the seafloor sand and then sleep in it. While it is sleeping, Shellder closes its shell, but leaves its tongue hanging out.",,TBD,,Bivalve,,"110,129,12,44,47",,
91,#091,Cloyster,cloyster,パルシェン,刺甲贝 ,1.5,132.5,18,6,"Cloyster is capable of swimming in the sea. It does so by swallowing water, then jetting it out toward the rear. This Pokémon shoots spikes from its shell using the same system.",,TBD,,Bivalve,,"108,44",,
92,#092,Gastly,gastly,ゴース,鬼斯 ,1.3,0.1,17,10,"Gastly is largely composed of gaseous matter. When exposed to a strong wind, the gaseous body quickly dwindles away. Groups of this Pokémon cluster under the eaves of houses to escape the ravages of wind.",,TBD,,Gas,,"112,128,18,75,82",,
93,#093,Haunter,haunter,ゴースト,鬼斯通 ,1.6,0.1,17,10,"Haunter is a dangerous Pokémon. If one beckons you while floating in darkness, you must never approach it. This Pokémon will try to lick you with its tongue and steal your life away.",,TBD,,Gas,,"112,124,128,18,75,76",,
94,#094,Gengar,gengar,ゲンガー,耿鬼 ,1.5,40.5,17,10,"Sometimes, on a dark night, your shadow thrown by a streetlight will suddenly and startlingly overtake you. It is actually a Gengar running past you, pretending to be your shadow.",,TBD,,Shadow,,"112,128,18,75,76",,
95,#095,Onix,onix,イワーク,大岩蛇 ,8.8,210,14,4,"Onix has a magnet in its brain. It acts as a compass so that this Pokémon does not lose direction while it is tunneling. As it grows older, its body becomes increasingly rounder and smoother.",,TBD,,Rock Snake,,"106,129,20,71,122,72,79,87",,
96,#096,Drowzee,drowzee,スリープ,催眠貘 ,1,32.4,12,,"If your nose becomes itchy while you are sleeping, it's a sure sign that one of these Pokémon is standing above your pillow and trying to eat you dream through your nostrils.",,TBD,,Hypnosis,,"135,141,39,118,66,67,68",,
97,#097,Hypno,hypno,スリーパー,引梦貘人 ,1.6,75.6,12,,"Hypno holds a pendulum in its hand. The arcing movement and glitter of the pendulum lull the foe into a deep state of hypnosis. While this Pokémon searches for prey, it polishes the pendulum.",,TBD,,Hypnosis,,"135,141,39,118,66,67,68",,
98,#098,Krabby,krabby,クラブ,大钳蟹 ,0.4,6.5,18,,"Krabby live on beaches, burrowed inside holes dug into the sand. On sandy beaches with little in the way of food, these Pokémon can be seen squabbling with each other over territory.",,TBD,,River Crab,,"134,114,115,12,13,73,79,86,97",,
99,#099,Kingler,kingler,キングラー,巨钳蟹 ,1.3,60,18,,"Kingler has an enormous, oversized claw. It waves this huge claw in the air to communicate with others. However, because the claw is so heavy, the Pokémon quickly tires.",,TBD,,Pincer,,"134,114,115,12,13,73,79,86,97",,
100,#100,Voltorb,voltorb,ビリリダマ,霹雳电球 ,0.5,10.4,7,,Voltorb was first sighted at a company that manufactures Poké Balls. The link between that sighting and the fact that this Pokémon looks very similar to a Poké Ball remains a mystery.,,TBD,,Ball,,"125,90,129,22",,
101,#101,Electrode,electrode,マルマイン,顽皮雷弹 ,1.2,66.6,7,,"Electrode eats electricity in the atmosphere. On days when lightning strikes, you can see this Pokémon exploding all over the place from eating too much electricity.",,TBD,,Ball,,"125,90,129,22",,
102,#102,Exeggcute,exeggcute,タマタマ,蛋蛋 ,0.4,2.5,2,12,"This Pokémon consists of six eggs that form a closely knit cluster. The six eggs attract each other and spin around. When cracks increasingly appear on the eggs, Exeggcute is close to evolution.",,TBD,,Egg,,135,,
103,#103,Exeggutor,exeggutor,ナッシー,椰蛋树 ,2,120,2,12,"Exeggutor originally came from the tropics. Its heads steadily grow larger from exposure to strong sunlight. It is said that when the heads fall off, they group together to form Exeggcute.",,TBD,,Coconut,,"135,68,74,86",,
104,#104,Cubone,cubone,カラカラ,卡拉卡拉 ,0.4,6.5,4,,"Cubone pines for the mother it will never see again. Seeing a likeness of its mother in the full moon, it cries. The stains on the skull the Pokémon wears are made by the tears it sheds.",,TBD,,Lonely,,"10,39",,
105,#105,Marowak,marowak,ガラガラ,嘎啦嘎啦 ,1,45,4,,Marowak is the evolved form of a Cubone that has overcome its sadness at the loss of its mother and grown tough. This Pokémon's tempered and hardened spirit is not easily broken.,,TBD,,Bone Keeper,,"10,39",,
